"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"Spital Station","","PLZ","Ort","zertifizierte","Titel","Leitung Vorname","Leitung Name","Leitung Pflege","Anza","Status","Zertifikat von","Zertifikat bis"
"","","","","Betten","","","","","hl","SGI Zertifizierung*","",""
"Spital Thurgau AG Interdisziplinäre Intensivstation","","8500","Frauenfeld","9","Dr. med.","Martin Christoph","Lang","Marion Springer","1","zertifiziert","28.02.2019","27.02.2021"
"Kantonsspital Frauenfeld (KSF)","","","","","","","","","","","",""
"Hôpital Fribourgeois - Site Fribourg Service des soins intensif et continus","","1708","Fribourg","19","","Govind Oliver","Sridharan","Bernard Faglia","1","zertifiziert","04.03.2019","03.03.2024"
"(HFR)","","","","","","","","","","","",""
"Hôpitaux Universitaires de Genève Unité Soins Intensifs Adultes","","1211","Genève 14","34","Pr Dr méd.","Jerôme","Pugin","Annie-Claude Paubel","1","zertifiziert","17.10.2019","16.10.2024"
"(HUG)","","","","","","","","","","","",""
"HUG Hôpital des enfants Néonatologie et soins Intensifs","","1211","Genève 14","22","Pr Dr méd.","Peter","Rimensberger","Violaine Guignon /","1","anerkannt","",""
"","","","","","","","","Véroniqe Launoy","","","",""
"Kantonsspital Glarus (KSGL) Intensivstation","","8750","Glarus","6","Dr. med.","Ulrike","Ehlers","Christoph Zwicker","1","zertifiziert","04.02.2016","03.02.2021"
"Spitalregion RWS - Spital Grabs Intensivstation Spital RS RWS - Spital","","9472","Grabs","6","Dr. med.","Christian","Bürkle","Andrea Rudigier","1","in Re-Evaluation","20.05.2016","19.05.2021"
"Grabs","","","","","","","","","","","",""
"Spital Herisau Interdisziplinäre Intensivstation","","9100","Herisau","6","Dr. med.","Marion","Bötschi","Romy Stacher","1","anerkannt","",""
"See-Spital Intensivstation","","8810","Horgen","6","Dr. med.","Julien","Marrel","Ursula Sommer","1","zertifiziert","25.05.2019","24.05.2024"
"Regionalspital Interlaken - Interdisziplinäre Intensivstation","","3800","Interlaken","8","Dr. med.","Eva-Maria","Weiss-Guillet","Stefan Leis","1","zertifiziert","04.02.2016","03.02.2021"
"Spitalverbund fmi","","","","","","","","","","","",""
"Spital Lachen Inst. f. Anästhesie und IS","","8854","Lachen","6","Dr. med.","Anca","Stauffacher","Ralf Barth","1","zertifiziert","28.11.2019","27.11.2022"
"SRO Langenthal Interdisziplinäre Intensivstation","","4900","Langenthal","6","Dr. med.","Regina","Metzger","Nicole Marti","1","zertifiziert","26.05.2020","25.05.2023"
"Centre Hospitalier Universitaire Vaudois Service de Médecine Intensive Adulte","","1011","Lausanne","35","Dr méd.","Philippe","Eckert","Thierry Szostek","1","zertifiziert","01.06.2016","31.05.2021"
"(CHUV)","","","","","","","","","","","",""
"Centre Hospitalier Universitaire Vaudois Unité de soins intensifs médico-chirurgicaus","","1001","Lausanne","12","Dr méd.","Marie-Helène","Perez","Marie-Christine Fazan","1","zertifiziert","05.01.2019","04.01.2024"
"(CHUV) de pédiatrie","","","","","","","","","","","",""
"Clinique de La Source Soins intensifs","","1004","Lausanne","6","Dr méd.","Francesca Carlotta","Bagna","Michel Marclay","1","zertifiziert","24.03.2016","23.03.2021"
"Hirslanden Clinique Cecil Soins intensifs","","1003","Lausanne","7","Dr. med.","Isabelle Fleisch","Fleisch","Rachel Rodriguez","1","anerkannt","",""
"Kantonsspital Liestal (KSBL) Interdisziplinäre Intensivstation","","4410","Liestal","10","Dr. med.","René","Lötscher","Slavisa Cukor","1","in Re-Evaluation","",""
"Ospedale Regionale di Locarno La Unità di Cure Intense Multidisciplinare","","6601","Locarno","7","Dr. med.","Michael","Llamas","Germano Penati","1","anerkannt","",""
"Carità","","","","","","","","","","","",""
"Ospedale Regionale di Lugano, Sede Reparto di Medicina Intensiva","","6903","Lugano","16","Pr Dr méd.","Paolo","Merlani","Danira Righetti","1","zertifiziert","01.07.2019","30.06.2024"
"Civico","","","","","","","","","","","",""
"Cardiocentro Ticino Servizio di cure intense","","6900","Lugano","9","Dr. med.","Tiziano","Cassina","Paula Deelen","1","anerkannt","",""
"Clinica Luganese Cure intense","","6903","Lugano","6","Dr. med.","Romano","Mauri","Carlo Duca","1","anerkannt","",""
"Luzerner Kinderspital (LUKS) Neonatologische und Päd. Intensivstation","","6000","Luzern","11","Dr. med.","Martin","Stocker","Ulrike Schlegel","1","zertifiziert","02.05.2018","01.05.2021"
"Hirslanden Klinik St. Anna Intensivstation","","6006","Luzern","6","Dr. med.","Felix","Reichlin","Liselotte Kälin","1","zertifiziert","28.02.2019","27.02.2024"
