"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"Spital","Station","PLZ","Ort","zertifizierte","Titel","Leitung Vorname","Leitung Name","Leitung Pflege","Anza","Status","Zertifikat von","Zertifikat bis"
"","","","","Betten","","","","","hl","SGI Zertifizierung*","",""
"Kantonsspital St. Gallen (KSSG)","Klinik für Intensivmedizin","9007","St. Gallen","18","Dr. med.","Gian-Reto","Kleger","Ursula  Betschart","1","anerkannt","",""
"Kantonsspital Nidwalden","Interdisziplinäre Intensivstation","6370","Stans","6","Dr. med.","Markus","Jaggi","Ursula Hafner","1","zertifiziert","01.04.2016","31.03.2021"
"Luzerner Kantonsspital (LUKS) Sursee","Intensivstation","6210","Sursee","6","Dr. med.","Rico","Grimm","Dagmar Schmidt","1","anerkannt","",""
"Spital STS AG - Spital Thun","Interdisziplinäre Intensivstation","3600","Thun","8","Dr. med.","Antje","Heise","Bettina Bermann","1","zertifiziert","01.07.2019","30.06.2024"
"Spital Uster","Intensivstation","8610","Uster","7","Dr. med.","Christian","Trachsel","Christian Köchli","1","zertifiziert","03.11.2015","02.11.2020"
"Spitalzentrum Oberwallis","Interdisziplinäre Intenivstation","3930","Visp","6","Dr. med.","Friederike","Meyer zu","Eveline Studer","1","in Re-Evaluation","",""
"","","","","","","","Bentrup","","","","",""
"GZO Spital Wetzikon","Institut für Anästhesiologie/Intensivstation","8620","Wetzikon","7","Dr. med.","Peter","Gerstl","Esther Philipp","1","zertifiziert","02.08.2018","01.08.2023"
"Kantonsspital Winterthur (KSW)","Zentrum für Intensivmedizin","8401","Winterthur","18","Dr. med.","Alois","Alois Haller","Lea Angatte-Tanner","1","anerkannt","",""
"Luzerner Kantonsspital (LUKS)","Anästhesie","6110","Wolhusen","6","Dr. med.","Roger","Schmid","Fahrudin Dzafic","1","zertifiziert","28.02.2020","27.02.2024"
"Wolhusen","","","","","","","","","","","",""
"Etablissement Hospitalier du Nord","Service de  Soins Intensifs Médico-","1400","Yverdon-les-Bains","8","PD  Dr. med.","Alain","Cometta","Claude Cachin","1","zertifiziert","28.02.2019","27.02.2024"
"Vaudois (eHnv)","Chirurgicaux","","","","","","","","","","",""
"Spital Zollikerberg","Interdisziplinäre Intensivstation","8125","Zollikerberg","7","Dr. med.","Lars","Jansen","Peter Schmid","1","zertifiziert","25.01.2019","24.01.2024"
"Kinderspital Zürich, Universitäts-","Abteilung für Intensivmedizin und","8032","Zürich","25","Prof. Dr. med.","Bernhard","Frey","Franziska von Arx","1","zertifiziert","20.06.2019","19.06.2022"
"Kinderkliniken (KISPI)","Neonatologie","","","","","","","","","","",""
"Klinik Hirslanden","Interdisziplinäre Intensivstation","8008","Zürich","22","Prof. Dr. med.","Christoph","Haberthür","Jürgen Gaulke","1","zertifiziert","17.09.2015","16.09.2020"
"Hirslanden Klinik im Park","Interdisziplinäre Intensivstation","8002","Zürich","8","Dr. med.","Tomislav","Gaspert","Kai Vogt","1","zertifiziert","07.01.2019","06.01.2024"
"UniversitätsSpital (USZ)","Institut für Intensivmedizin","8091","Zürich","64","Prof. Dr. med.","Reto","Schüpbach","Simone Stein","1","zertifiziert","31.08.2018","30.08.2023"
"Stadtspital Triemli","Intensivstation","8063","Zürich","18","KD Dr. med.","Patricia","Fodor","Melanie von Bresinski-Kraeft","1","in Re-Evaluation","",""
"Stadtspital Waid","Interdisziplinäre Intensivstation","8037","Zürich","10","Dr. med.","Christian","Giambarba","Hilke Johannsen","1","anerkannt","",""
