"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"Spital","Station","PLZ","Ort","zertifizierte","Titel","Leitung Vorname","Leitung Name","Leitung Pflege","Anza","Status","Zertifikat von","Zertifikat bis"
"","","","","Betten","","","","","hl","SGI Zertifizierung*","",""
"Hirslanden Klinik Aarau","Intensivstation","5001","Aarau","12","Dr. med.","Christian","Frey","Cordula Belaoudja-Hartmann","1","zertifiziert","01.06.2016","31.05.2021"
"Kantonsspital Aarau (KSA)","Medizinische Intensivstation","5001","Aarau","8","Dr. med.","Marc","Michot","Gabriele Wessler","1","anerkannt","",""
"Kantonsspital Aarau (KSA)","Operative Intensivmedizin","5001","Aarau","16","Dr. med.","Rolf","Ensner","Urs Diriwächter, Martin Balmer","1","anerkannt","",""
"Kantonsspital Uri","Anästhesiologie/Intensivstation","6460","Altdorf","6","KD Dr.","Georg","Mang","Burkhard Friese","1","zertifiziert","27.10.2017","26.10.2022"
"Zuger Kantonsspital","Interdisziplinäre Intensivstation","6340","Baar","8","Dr. med.","Peter","Schott","Chantal Britschgi","1","in Re-Evaluation","29.05.2015","28.05.2020"
"Kantonsspital Baden (KSB)","Interdisziplinäre Intensivstation","5404","Baden","10","Dr. med.","François","Fontana","Karsten Richter","1","in Re-Evaluation","21.08.2015","20.08.2020"
"Universitätsspital Basel (USB)","Intensivstation","4031","Basel","46","Prof. Dr. med.","Hans","Pargger","Michael Wehrli","1","zertifiziert","01.04.2019","31.03.2024"
"St. Claraspital","Anästhesie/Intensivmedizin","4016","Basel","8","Dr. med.","Lukas","Merki","Marny Cukor","1","zertifiziert","07.06.2017","06.06.2022"
"Universitäts-Kinderspital Beider Basel","Pädiatrische Intensivstation Neonatologie","4056","Basel","8","Prof. Dr. med.","Jürg","Hammer","Stefanie Niederschirp","1","in Re-Evaluation","",""
"(UKBB)","","","","","","","","","","","",""
"Ospedale San Giovanni","Centro Cure Intensive","6500","Bellinzona","9","Prof. Dr. med.","Andreas","Perren","Giuseppe Tullio","1","anerkannt","",""
"Inselspital","Abt. für päd.-neonatologische","3010","Bern","12","Prof. Dr. med.","Tilman","Humpl","Christine Bauholzer","1","zertifiziert","01.11.2019","31.10.2023"
"","Intensivbehandlung","","","","","","","","","","",""
"Inselspital","Universitätsklinik für Intensivmedizin","3010","Bern","39","Prof. Dr. med.","Stephan","Jakob","Matthias Theis","1","zertifiziert","31.10.2018","30.10.2023"
"Lindenhofspital","Intensivstation","3012","Bern","8","Dr. med.","Jan","Wiegand","Erika Sigrist","1","zertifiziert","27.10.2016","26.10.2021"
"Spital Tiefenau - Inselgruppe","Intensivstation","3004","Bern","8","Dr. med.","Oliver","Wahler","Christina Neumann","1","zertifiziert","29.03.2018","28.03.2023"
"Hirslanden Klinik Beau-Site","Interdisziplinäre Intensivstation","3000","Bern","12","Dr. med.","Roland","Knöpfli","Andreas Komorowski","1","zertifiziert","27.03.2018","26.03.2023"
"Spitalzentrum Biel (SPZ)","Abteilung für Intensivmedizin","2501","Biel","8","Dr. med.","Marcus","Laube","Barbara Gerber","1","zertifiziert","28.04.2017","27.04.2020"
"Kantonsspital Bruderholz","Inst. für Anästhesie und Intensivmedizin","4101","Bruderholz","9","Dr. med.","Peter","Gerecke","Stephan Ness","1","anerkannt","",""
"Spital Bülach","Interdisziplinäre Intensivstation des","8180","Bülach","8","Dr. med.","Bernd","Yuen","Nadine Wartini","1","anerkannt","",""
"","Schwerpunktspitals","","","","","","","","","","",""
"Regionalspital Emmental Burgdorf","Interdisziplinäre Intensivstation","3400","Burgdorf","6","Dr. med.","Brigitte","Ulrich","Hans-Christoph Mewes","1","zertifiziert","28.03.2018","27.03.2023"
"Kantonsspital Graubünden (KSGR)","Kinderintensivstation","7000","Chur","9","Dr. med.","Thomas","Riedel","Kai Roloff","1","zertifiziert","30.03.2019","29.03.2022"
"Kantonsspital Graubünden (KSGR)","Interdisziplinäre Intensivstation","7000","Chur","11","Dr. med.","Adrian","Wäckerlin","Sandra Rupp","1","anerkannt","",""
"Hôpital du Jura - site de Delémont","Médecine d’urgence et intensive","2800","Delémont 1","6","Dr. med.","Alain","Kocher","Norbert  Croce","1","anerkannt","",""
